127.0.0.1 - - [23/Oct/2019:17:49:26 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/fonts/raleway.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/fonts/open-sans.css HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/css/bootstrap.css HTTP/1.1" 200 131837
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/css/font-awesome.css HTTP/1.1" 200 21993
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/css/hippo-green.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/css/responsive.css HTTP/1.1" 200 22227
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/js/bootstrap.min.js HTTP/1.1" 200 40744
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/js/kanzi-menu.js HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/css/style.css HTTP/1.1" 200 146085
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:36 +0200] "GET /site/webfiles/1571845735462/images/gogreenlogo2.png HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/images/logo-bloomreach.svg HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/js/jquery-2.1.0.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/images/sprites.png HTTP/1.1" 200 9810
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/fonts/fontawesome-webfont.woff HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /favicon.ico HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/fonts/raleway/xkvoNo9fC8O2RDydKj12b73hpw3pgy2gAi-Ip7WPMi0.woff HTTP/1.1" 200 23144
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/fonts/raleway/cIFypx4yrWPDz3zOxk7hIQLUuEpTyoUstqEm5AMlJo4.woff HTTP/1.1" 200 23124
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:37 +0200] "GET /site/webfiles/1571845735462/fonts/raleway/CcKI4k9un7TZVWzRVT-T873hpw3pgy2gAi-Ip7WPMi0.woff HTTP/1.1" 200 23176
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/products HTTP/1.1" 200 13811
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/binaries/content/gallery/alligator/products/coccodrillo-3.jpg/coccodrillo-3.jpg/alligator%3Asmallsquare HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/binaries/content/gallery/alligator/products/alligatores.jpg/alligatores.jpg/alligator%3Asmallsquare HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/binaries/content/gallery/alligator/products/coccodrillo2.jpg/coccodrillo2.jpg/alligator%3Asmallsquare HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/webfiles/1571845735462/images/icon-banknote.png HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:42 +0200] "GET /site/binaries/content/gallery/alligator/products/coccodrillo.jpg/coccodrillo.jpg/alligator%3Asmallsquare HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:46 +0200] "GET /site/products/crocodiletwo.html HTTP/1.1" 200 10233
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:46 +0200] "GET /site/webfiles/1571845735462/images/icon-zoom.png HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [23/Oct/2019:17:59:50 +0200] "GET /site/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [23/Oct/2019:18:00:05 +0200] "GET /site/products HTTP/1.1" 200 13811
0:0:0:0:0:0:0:1 - - [23/Oct/2019:18:00:15 +0200] "GET /site/ HTTP/1.1" 200 10635
