127.0.0.1 - - [25/Oct/2019:09:42:57 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:51 +0200] "GET /site/ HTTP/1.1" 200 11085
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:51 +0200] "GET /site/webfiles/1571989339916/fonts/raleway.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:51 +0200] "GET /site/webfiles/1571989339916/css/style.css HTTP/1.1" 200 146091
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/fonts/open-sans.css HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/css/responsive.css HTTP/1.1" 200 22227
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/css/hippo-green.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/css/bootstrap.css HTTP/1.1" 200 131854
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/css/font-awesome.css HTTP/1.1" 200 21993
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/js/kanzi-menu.js HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/images/gogreenlogo2.png HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/js/jquery-2.1.0.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/images/logo-bloomreach.svg HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/js/bootstrap.min.js HTTP/1.1" 200 40744
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/binaries/content/gallery/alligator/banners/study.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/fonts/raleway/cIFypx4yrWPDz3zOxk7hIQLUuEpTyoUstqEm5AMlJo4.woff HTTP/1.1" 200 23124
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/binaries/content/gallery/alligator/banners/office.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/binaries/content/gallery/alligator/banners/thermostat2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:45:52 +0200] "GET /site/webfiles/1571989339916/images/sprites.png HTTP/1.1" 200 9810
